BIN,full_addr_rus,resid,RNN,name_kaz,RNN1,name_rus,FIO,kato,IIN,addr_type,full_addr_kaz
131240018028,,,,,,,,,2017-03-17 19:09:32,,
100840014782,,,,,,,,,2017-01-26 23:14:31,,
970440003445,,,,,,,,,2017-01-27 11:45:34,,
100940010347,,,,,,,,,2017-02-01 15:41:34,,
150440011188,,,,,,,,,2017-02-03 12:18:48,,
150140006864,,,,,,,,,2017-02-07 10:35:37,,
160240026864,,,,,,,,,2017-02-07 11:43:46,,
110140002458,,,,,,,,,2017-02-15 14:08:49,,
170140026337,,,,,,,,,2017-02-16 16:18:06,,
120641020491,,,,,,,,,2017-02-17 11:00:48,,
131140002315,,,,,,,,,2017-02-22 11:37:49,,
111240008205,,,,,,,,,2017-03-01 12:57:17,,
170240013180,,,,,,,,,2017-03-08 13:09:08,,
071040011258,,,,,,,,,2017-03-15 12:05:08,,
991240003761,,,,,,,,,2017-01-17 18:05:18,,
021140004418,,,,,,,,,2017-01-18 17:19:14,,
050540011251,,,,,,,,,2017-01-19 16:05:45,,
160440032549,,,,,,,,,2017-01-20 14:39:11,,
100840014811,,,,,,,,,2017-01-20 14:42:41,,
860840000026,,,,,,,,,2017-01-20 16:59:33,,
161240004529,,,,,,,,,2017-01-20 19:03:52,,
100940013371,,,,,,,,,2017-01-20 19:06:06,,
790940000014,,,,,,,,,2017-01-22 22:07:04,,
160640015348,,,,,,,,,2017-01-23 10:45:51,,
170140012298,,,,,,,,,2017-01-23 13:12:18,,
130140003013,,,,,,,,,2017-01-24 12:39:57,,
170140013395,,,,,,,,,2017-01-24 15:23:09,,
080740005347,,,,,,,,,2017-01-06 11:52:44,,
071240011592,,,,,,,,,2017-01-14 15:55:42,,
140840015561,,,,,,,,,2017-01-17 13:10:44,,
